"PlayerID","Name","Season_future","Start_IP_future","ERA_Minus_future","Age","Start_IP_past1","xFIP_Minus_past1","SIERA_past1","K_Rate_Plus_past1","K_BB_Rate_past1","botStf_past1","Stuff_Plus_past1","Pitching_Plus_past1"
"17282_656629","Michael Kopech",2022,119.02999955,90.41902559,26,14,39.37606234,1.971563787,195.6624354,0.3922,63.38753832,121.1276498,114.4737327
"17489_657093","Spenser Watkins",2022,95,109.8611374,29,46,124.815558,5.329192998,64.87628892,0.0701,38.63448649,86.00923451,94.46452005
"23221_675627","Michael Grove",2022,28.030000114,96.58097828,25,0,NA,NA,NA,NA,NA,NA,NA
"21448_663436","Davis Martin",2022,44.029999541,139.8157876,25,0,NA,NA,NA,NA,NA,NA,NA
"18325_621368","Taylor Hearn",2022,59,157.3630441,27,51,116.8441845,4.916614902,76.07974762,0.1043,50.5046584,94.95270619,96.73801546
"19244_608344","Cole Irvin",2022,181,107.367678,28,178.03000183,112.4471539,4.848548737,70.61526386,0.1081,34.04173307,78.20916573,97.12166105
"19879_656557","Tanner Houck",2022,16.060000228,104.8990642,26,58.060000228,72.1340374,3.21331545,130.3365979,0.2387,55.70075964,105.4302204,100.0521511
"19278_661269","Vladimir Gutierrez",2022,35,181.284569,26,114,120.4740385,5.080617969,76.10873251,0.0847,45.84239069,94.38486339,98.73016393
"20633_579328","Yusei Kikuchi",2022,82.029999541,137.0403635,31,157,89.87537507,4.159408417,106.1849994,0.1517,58.20508575,106.0110504,100.1736431
"23252_675921","Spencer Howard",2022,34,186.4876247,25,43.060000228,120.9087453,4.988290381,89.3464327,0.096,44.32640523,92.31704835,93.24287532
"16561_596295","Austin Gomber",2022,87.059999085,123.346166,28,115.02999955,98.28264395,4.28955097,99.33267183,0.1475,47.13694982,88.63990201,95.84697877
"7593_543475","Jordan Lyles",2022,179,116.6123805,31,167,109.4954898,4.673627491,84.36170205,0.1208,48.91189059,93.87436174,100.0020496
"15474_608337","Lucas Giolito",2022,161.05999907,124.9636773,27,178.05999907,87.71114997,3.71911057,121.1193008,0.2069,58.60627551,104.2957827,106.3490553
"21446_663372","Ryan Feltner",2022,94,129.4151124,25,0,NA,NA,NA,NA,NA,NA,NA
